NODE_KEY,BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,WEB_ADDRESS,BP_ID,COMPANY_NAME,ADDRESS_GUID_NODE_KEY
BP000000000000000000000000000001,01,contact1@company1.com,+1-555-0100,+1-555-0200,www.company1.com,BP-1001,Company A Ltd,ADDR0000000000000000000000000001
BP000000000000000000000000000002,02,contact2@company2.com,+1-555-0101,+1-555-0201,www.company2.com,BP-1002,Company B Ltd,ADDR0000000000000000000000000002
BP000000000000000000000000000003,01,contact3@company3.com,+1-555-0102,+1-555-0202,www.company3.com,BP-1003,Company C Ltd,ADDR0000000000000000000000000003
BP000000000000000000000000000004,02,contact4@company4.com,+1-555-0103,+1-555-0203,www.company4.com,BP-1004,Company D Ltd,ADDR0000000000000000000000000004
BP000000000000000000000000000005,01,contact5@company5.com,+1-555-0104,+1-555-0204,www.company5.com,BP-1005,Company E Ltd,ADDR0000000000000000000000000005
BP000000000000000000000000000006,02,contact6@company6.com,+1-555-0105,+1-555-0205,www.company6.com,BP-1006,Company F Ltd,ADDR0000000000000000000000000006
BP000000000000000000000000000007,01,contact7@company7.com,+1-555-0106,+1-555-0206,www.company7.com,BP-1007,Company G Ltd,ADDR0000000000000000000000000007
BP000000000000000000000000000008,02,contact8@company8.com,+1-555-0107,+1-555-0207,www.company8.com,BP-1008,Company H Ltd,ADDR0000000000000000000000000008
BP000000000000000000000000000009,01,contact9@company9.com,+1-555-0108,+1-555-0208,www.company9.com,BP-1009,Company I Ltd,ADDR0000000000000000000000000009
BP000000000000000000000000000010,02,contact10@company10.com,+1-555-0109,+1-555-0209,www.company10.com,BP-10010,Company J Ltd,ADDR0000000000000000000000000010
