NODE_KEY,CITY,POSTAL_CODE,STREET,BUILDING,COUNTRY,ADDRESS_TYPE,VAL_START_DATE,VAL_END_DATE,LATITUDE,LONGITUDE
ADDR0000000000000000000000000001,New York,10001,Broadway,Bldg A,USA,Office,2023-01-01,2099-12-31,40.71,-74.0
ADDR0000000000000000000000000002,London,EC1A,Baker St,Bldg B,GBR,Warehouse,2023-01-01,2099-12-31,51.5,-0.12
ADDR0000000000000000000000000003,Berlin,10115,Friedrichstr,Bldg C,DEU,Office,2023-01-01,2099-12-31,52.52,13.4
ADDR0000000000000000000000000004,Paris,75001,Champs Elysees,Bldg D,FRA,Office,2023-01-01,2099-12-31,48.85,2.35
ADDR0000000000000000000000000005,Tokyo,100-00,Shibuya,Bldg E,JPN,HQ,2023-01-01,2099-12-31,35.68,139.76
ADDR0000000000000000000000000006,Sydney,2000,George St,Bldg F,AUS,Branch,2023-01-01,2099-12-31,-33.86,151.2
ADDR0000000000000000000000000007,Toronto,M5V,King St,Bldg G,CAN,Warehouse,2023-01-01,2099-12-31,43.65,-79.38
ADDR0000000000000000000000000008,Dubai,00000,Sheikh Zayed Rd,Bldg H,ARE,Branch,2023-01-01,2099-12-31,25.2,55.27
ADDR0000000000000000000000000009,Singapore,018956,Orchard Rd,Bldg I,SGP,HQ,2023-01-01,2099-12-31,1.35,103.81
ADDR0000000000000000000000000010,Mumbai,400001,Marine Drive,Bldg J,IND,Office,2023-01-01,2099-12-31,18.92,72.82
